,강수량(mm),winloss_home,winloss_away,winrate_home,winrate_away,date,holiday_x,temp_x,adjusted_spec,day_sin,day_cos,두산,SSG,키움,LG,KIA,한화,롯데,삼성,NC,KT,weather_x_맑음,weather_x_구름조금,weather_x_구름많음,weather_x_흐림,weather_x_비,stadium_x_대구 삼성 라이온즈 파크,stadium_x_대전 한화생명 이글스파크,stadium_x_부산 사직 야구장,stadium_x_서울 잠실 야구장,stadium_x_서울고척스카이돔,stadium_x_수원케이티위즈파크,stadium_x_인천SSG 랜더스필드,stadium_x_창원NC파크,stadium_x_마산,stadium_x_울산문수야구장,stadium_x_청주야구장,stadium_x_포항야구장,stadium_x_광주-기아 챔피언스 필드
0,0,1,2,0.569,0.443,2024-06-11,0,28,0.739,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,1,0.508,0.587,2024-06-11,0,23,0.6959565217391305,0.9749279121818236,-0.22252093395631434,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,2,1,0.484,0.429,2024-06-11,0,28,0.1945,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,1,0.54,0.594,2024-06-11,0,31,0.5181666666666667,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,1,0.433,0.403,2024-06-11,0,25,0.42331914893617023,0.9749279121818236,-0.22252093395631434,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,1,1,0.561,0.452,2024-06-12,0,27,0.8652,0.43388373911755823,-0.900968867902419,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,1,1,0.516,0.578,2024-06-12,0,24,0.7166521739130435,0.43388373911755823,-0.900968867902419,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,2,1,0.492,0.422,2024-06-12,0,28,0.18740909090909091,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,1,1,0.547,0.585,2024-06-12,0,31,0.5629583333333333,0.43388373911755823,-0.900968867902419,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,1,0.426,0.413,2024-06-12,0,25,0.4846808510638298,0.43388373911755823,-0.900968867902419,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,0,1,1,0.552,0.46,2024-06-13,0,28,0.81012,-0.433883739117558,-0.9009688679024191,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0,1,1,0.508,0.585,2024-06-13,0,25,0.7952173913043479,-0.433883739117558,-0.9009688679024191,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,1,1,0.484,0.431,2024-06-13,0,29,0.1710909090909091,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,1,1,0.554,0.576,2024-06-13,0,32,0.6035416666666666,-0.433883739117558,-0.9009688679024191,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,1,0.435,0.406,2024-06-13,0,26,0.508127659574468,-0.433883739117558,-0.9009688679024191,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,0,1,1,0.424,0.576,2024-06-14,0,28,0.921,-0.9749279121818236,-0.2225209339563146,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,1,1,0.567,0.444,2024-06-14,0,28,0.95,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,0,1,1,0.4,0.559,2024-06-14,0,28,0.5105882352941177,-0.9749279121818236,-0.2225209339563146,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,1,1,0.453,0.515,2024-06-14,0,28,0.9230769230769231,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,0,1,1,0.492,0.561,2024-06-14,0,27,0.5633636363636364,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,1,1,0.418,0.582,2024-06-15,1,25,0.935,-0.7818314824680299,0.6234898018587334,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
