,강수량(mm),winloss_home,winloss_away,winrate_home,winrate_away,date,holiday_x,temp_x,adjusted_spec,day_sin,day_cos,두산,SSG,키움,LG,KIA,한화,롯데,삼성,NC,KT,weather_x_맑음,weather_x_구름조금,weather_x_구름많음,weather_x_흐림,weather_x_비,stadium_x_광주-기아 챔피언스 필드,stadium_x_대구 삼성 라이온즈 파크,stadium_x_서울 잠실 야구장,stadium_x_서울고척스카이돔,stadium_x_수원케이티위즈파크,stadium_x_인천SSG 랜더스필드,stadium_x_청주야구장,stadium_x_마산,stadium_x_울산문수야구장,stadium_x_포항야구장,stadium_x_부산 사직 야구장,stadium_x_대전 한화생명 이글스파크,stadium_x_창원NC파크
0,0,13,10,0.594,0.571,2024-06-18,0,30,0.8844390243902439,0.9749279121818236,-0.22252093395631434,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,-13,-8,0.406,0.439,2024-06-18,0,28,0.42455,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,9,0,0.563,0.5,2024-06-18,0,29,0.36104,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,7,3,0.551,0.522,2024-06-18,0,31,0.4344166666666667,0.9749279121818236,-0.22252093395631434,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,-7,-14,0.448,0.397,2024-06-18,0,30,0.9394572025052192,0.9749279121818236,-0.22252093395631434,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,14,9,0.6,0.563,2024-06-19,0,33,0.7344390243902439,0.43388373911755823,-0.900968867902419,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-12,-9,0.414,0.433,2024-06-19,0,32,0.4553,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,10,-1,0.569,0.493,2024-06-19,0,32,0.47936,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,6,4,0.543,0.529,2024-06-19,0,33,0.4786666666666667,0.43388373911755823,-0.900968867902419,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,0,-6,-15,0.456,0.391,2024-06-19,0,32,0.9394572025052192,0.43388373911755823,-0.900968867902419,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,0,13,10,0.592,0.569,2024-06-20,0,23,0.6833658536585366,-0.433883739117558,-0.9009688679024191,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,0,-13,-8,0.408,0.441,2024-06-20,0,30,0.5248,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,9,0,0.562,0.5,2024-06-20,0,31,0.43636,-0.433883739117558,-0.9009688679024191,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,0,7,3,0.549,0.521,2024-06-20,0,26,0.5426666666666666,-0.433883739117558,-0.9009688679024191,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,0,-5,-16,0.464,0.386,2024-06-20,0,29,0.9394572025052192,-0.433883739117558,-0.9009688679024191,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
