,강수량(mm),winloss_home,winloss_away,winrate_home,winrate_away,date,holiday_x,temp_x,adjusted_spec,day_sin,day_cos,두산,SSG,키움,LG,KIA,한화,롯데,삼성,NC,KT,weather_x_맑음,weather_x_구름조금,weather_x_구름많음,weather_x_흐림,weather_x_비,stadium_x_대구 삼성 라이온즈 파크,stadium_x_대전 한화생명 이글스파크,stadium_x_부산 사직 야구장,stadium_x_서울 잠실 야구장,stadium_x_서울고척스카이돔,stadium_x_수원케이티위즈파크,stadium_x_인천SSG 랜더스필드,stadium_x_창원NC파크,stadium_x_마산,stadium_x_청주야구장,stadium_x_포항야구장,stadium_x_광주-기아 챔피언스 필드,stadium_x_울산문수야구장
0,0,-12,18,0.444,0.583,2024-08-13,0,34,0.9411764705882353,0.9749279121818236,-0.22252093395631434,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,7,-2,0.532,0.491,2024-08-13,0,32,0.6295416666666667,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,19,-9,10,0.457,0.547,2024-08-13,0,33,0.9036923076923077,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,0,-7,-1,0.467,0.495,2024-08-13,0,32,0.23277272727272727,0.9749279121818236,-0.22252093395631434,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,3,-13,19,0.44,0.587,2024-08-14,0,33,0.9411764705882353,0.43388373911755823,-0.900968867902419,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,8,-3,0.536,0.486,2024-08-14,0,31,0.8514583333333333,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,-10,11,0.453,0.551,2024-08-14,0,33,0.9141538461538462,0.43388373911755823,-0.900968867902419,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,3,4,-9,0.518,0.461,2024-08-14,0,33,0.85348,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8,6,-12,18,0.445,0.582,2024-08-15,1,33,0.9411764705882353,-0.433883739117558,-0.9009688679024191,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,9,-4,0.541,0.482,2024-08-15,1,32,1.0,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
