,강수량(mm),winrate_home,winrate_away,winloss_home,winloss_away,date,holiday_x,temp_x,adjusted_spec,day_sin,day_cos,두산,SSG,키움,LG,KIA,한화,롯데,삼성,NC,KT,weather_x_맑음,weather_x_구름조금,weather_x_구름많음,weather_x_흐림,weather_x_비,stadium_x_광주-기아 챔피언스 필드,stadium_x_대구 삼성 라이온즈 파크,stadium_x_대전 한화생명 이글스파크,stadium_x_서울 잠실 야구장,stadium_x_서울고척스카이돔,stadium_x_수원케이티위즈파크,stadium_x_인천SSG 랜더스필드,stadium_x_창원NC파크,stadium_x_마산,stadium_x_울산문수야구장,stadium_x_청주야구장,stadium_x_포항야구장,stadium_x_부산 사직 야구장
0,8.7,0.4,0.575,-8,6,2024-05-15,1,13.7,0.9230769230769231,0.43388373911755823,-0.900968867902419,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.6,0.61,0.568,9,6,2024-05-15,1,14.8,1.0,0.43388373911755823,-0.900968867902419,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,0.5,0.429,0.333,-6,-13,2024-05-16,0,13.2,0.4156,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3,3.0,0.39,0.585,-9,7,2024-05-16,0,14.2,0.7324615384615385,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0.0,0.619,0.556,10,5,2024-05-16,0,15.7,0.7802926829268293,-0.433883739117558,-0.9009688679024191,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0,0.548,0.561,4,5,2024-05-16,0,12.9,0.5996086956521739,-0.433883739117558,-0.9009688679024191,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0.1,0.548,0.415,4,-7,2024-05-16,0,13.7,0.60216,-0.433883739117558,-0.9009688679024191,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,0.0,0.571,0.381,6,-10,2024-05-17,0,19.1,1.0,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,0.0,0.595,0.619,8,10,2024-05-17,0,18.5,0.5581818181818182,-0.9749279121818236,-0.2225209339563146,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0.0,0.419,0.535,-7,3,2024-05-17,0,17.4,0.5687,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0.0,0.556,0.35,5,-12,2024-05-17,0,18.3,0.95,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0.0,0.429,0.535,-6,3,2024-05-17,0,18.3,0.5768235294117647,-0.9749279121818236,-0.2225209339563146,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0.0,0.581,0.372,7,-11,2024-05-18,1,21.4,1.0,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0.0,0.581,0.628,7,11,2024-05-18,1,20.3,0.8132272727272727,-0.7818314824680299,0.6234898018587334,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0.0,0.409,0.545,-8,4,2024-05-18,1,19.1,0.935,-0.7818314824680299,0.6234898018587334,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,0.0,0.543,0.366,4,-11,2024-05-18,1,20.7,0.95,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,0.0,0.419,0.545,-7,4,2024-05-18,1,20.7,0.7137058823529412,-0.7818314824680299,0.6234898018587334,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0.0,0.591,0.364,8,-12,2024-05-19,1,23.0,1.0,-2.4492935982947064e-16,1.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,0.0,0.568,0.636,6,12,2024-05-19,1,21.9,0.7387727272727272,-2.4492935982947064e-16,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,0.0,0.4,0.556,-9,5,2024-05-19,1,20.0,0.7956,-2.4492935982947064e-16,1.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0.0,0.553,0.357,5,-12,2024-05-19,1,21.5,0.95,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,0.0,0.409,0.556,-8,5,2024-05-19,1,21.5,0.5911176470588235,-2.4492935982947064e-16,1.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
