,강수량(mm),winloss_home,winloss_away,winrate_home,winrate_away,date,holiday_x,temp_x,adjusted_spec,day_sin,day_cos,두산,SSG,키움,LG,KIA,한화,롯데,삼성,NC,KT,weather_x_맑음,weather_x_구름조금,weather_x_구름많음,weather_x_흐림,weather_x_비,stadium_x_광주-기아 챔피언스 필드,stadium_x_대구 삼성 라이온즈 파크,stadium_x_대전 한화생명 이글스파크,stadium_x_부산 사직 야구장,stadium_x_서울 잠실 야구장,stadium_x_서울고척스카이돔,stadium_x_수원케이티위즈파크,stadium_x_인천SSG 랜더스필드,stadium_x_창원NC파크,stadium_x_마산,stadium_x_울산문수야구장,stadium_x_청주야구장,stadium_x_포항야구장
0,0,-12,13,0.357,0.644,2024-05-21,0,20,0.596,0.9749279121818236,-0.22252093395631434,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,7,-8,0.578,0.413,2024-05-21,0,20,0.5566666666666666,0.9749279121818236,-0.22252093395631434,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,-11,4,0.378,0.543,2024-05-21,0,25,0.7180769230769231,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,-7,5,0.422,0.556,2024-05-21,0,25,0.23176470588235293,0.9749279121818236,-0.22252093395631434,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,5,4,0.553,0.543,2024-05-21,0,25,0.55668,0.9749279121818236,-0.22252093395631434,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,-11,12,0.372,0.63,2024-05-22,0,22,0.5983829787234043,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,6,-7,0.565,0.426,2024-05-22,0,28,0.5513333333333333,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,-10,3,0.391,0.532,2024-05-22,0,25,0.6956923076923077,0.43388373911755823,-0.900968867902419,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,-8,6,0.413,0.565,2024-05-22,0,22,0.2551176470588235,0.43388373911755823,-0.900968867902419,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,6,3,0.563,0.532,2024-05-22,0,22,0.50568,0.43388373911755823,-0.900968867902419,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,2,2,0.386,0.617,2024-05-23,0,23,0.6742127659574468,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0,1,1,0.574,0.417,2024-05-23,0,30,0.5537916666666667,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,3,3,0.404,0.521,2024-05-23,0,27,0.7698461538461538,-0.433883739117558,-0.9009688679024191,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,0,2,2,0.404,0.574,2024-05-23,0,22,0.22923529411764706,-0.433883739117558,-0.9009688679024191,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,3,3,0.571,0.521,2024-05-23,0,22,0.48524,-0.433883739117558,-0.9009688679024191,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,4,1,0.51,0.396,2024-05-24,0,18,0.9761304347826087,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,1,1,0.531,0.563,2024-05-24,0,21,0.74204,-0.9749279121818236,-0.2225209339563146,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,3,4,0.604,0.58,2024-05-24,0,25,1.0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0,3,1,0.4,0.563,2024-05-24,0,22,0.8756170212765958,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,0,1,1,0.429,0.417,2024-05-24,0,22,0.34335,-0.9749279121818236,-0.2225209339563146,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,0,5,1,0.5,0.408,2024-05-25,1,18,1.0,-0.7818314824680299,0.6234898018587334,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,0,2,2,0.54,0.551,2024-05-25,1,22,0.89044,-0.7818314824680299,0.6234898018587334,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,4,5,0.592,0.588,2024-05-25,1,23,1.0,-0.7818314824680299,0.6234898018587334,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,1,0.391,0.571,2024-05-25,1,20,0.9684255319148937,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,0,2,1,0.44,0.408,2024-05-25,1,22,0.62125,-0.7818314824680299,0.6234898018587334,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,9,3,3,0.549,0.54,,0,21,0.70768,-2.4492935982947064e-16,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
26,3,1,1,0.6,0.577,2024-05-26,1,20,1.0,-2.4492935982947064e-16,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
