,강수량(mm),winloss_home,winloss_away,winrate_home,winrate_away,date,holiday_x,temp_x,adjusted_spec,day_sin,day_cos,두산,SSG,키움,LG,KIA,한화,롯데,삼성,NC,KT,weather_x_맑음,weather_x_구름조금,weather_x_구름많음,weather_x_흐림,weather_x_비,stadium_x_광주-기아 챔피언스 필드,stadium_x_대구 삼성 라이온즈 파크,stadium_x_대전 한화생명 이글스파크,stadium_x_부산 사직 야구장,stadium_x_서울 잠실 야구장,stadium_x_서울고척스카이돔,stadium_x_수원케이티위즈파크,stadium_x_인천SSG 랜더스필드,stadium_x_창원NC파크,stadium_x_마산,stadium_x_울산문수야구장,stadium_x_청주야구장,stadium_x_포항야구장
0,0.0,0,0,1.0,1.0,2024-03-23,1,18.0,0.95,-0.7818314824680299,0.6234898018587334,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,7.1,0,0,1.0,1.0,2024-03-23,1,16.1,1.0,-0.7818314824680299,0.6234898018587334,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2.4,0,0,1.0,1.0,2024-03-23,1,22.0,0.8132272727272727,-0.7818314824680299,0.6234898018587334,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0.0,0,0,1.0,1.0,2024-03-23,1,18.8,0.935,-0.7818314824680299,0.6234898018587334,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,0.0,0,0,1.0,1.0,2024-03-23,1,23.5,1.0,-0.7818314824680299,0.6234898018587334,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0,1,-1,1.0,0.0,2024-03-24,1,23.0,0.95,-2.4492935982947064e-16,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,8.9,1,-1,1.0,0.0,2024-03-24,1,21.5,1.0,-2.4492935982947064e-16,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,2.2,1,-1,1.0,0.0,2024-03-24,1,13.7,0.6615909090909091,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0.0,-1,1,0.0,1.0,2024-03-24,1,22.5,0.935,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2.0,2,0,1.0,0.5,2024-03-26,0,11.1,0.458304347826087,0.9749279121818236,-0.22252093395631434,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,23.0,1,-2,1.0,0.0,2024-03-26,0,12.2,0.3574634146341463,0.9749279121818236,-0.22252093395631434,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,15.7,-2,0,0.0,0.5,2024-03-26,0,11.1,0.2189,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,12.0,0,2,0.5,1.0,2024-03-26,0,12.0,0.56916,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13,12.8,0,-1,0.5,0.0,2024-03-26,0,12.2,0.12904545454545455,0.9749279121818236,-0.22252093395631434,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14,4.8,1,1,0.667,0.667,2024-03-27,0,13.6,0.47847826086956524,0.43388373911755823,-0.900968867902419,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0.0,2,-3,1.0,0.0,2024-03-27,0,16.0,0.4230243902439024,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0,-3,1,0.0,0.667,2024-03-27,0,16.2,0.26355,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0.0,1,1,0.667,0.667,2024-03-27,0,16.0,0.72164,0.43388373911755823,-0.900968867902419,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
