,year,month,day,week,home,away,stadium,weather,temp,spec,date
0,2023,10,17,화,KIA,NC,광주-기아 챔피언스 필드,맑음,21.7℃,10175,2023-10-17
1,2023,10,17,화,SSG,두산,인천SSG 랜더스필드,맑음,19.5℃,21007,2023-10-17
2,2023,10,16,월,한화,롯데,대전 한화생명 이글스파크,맑음,20.7℃,12000,2023-10-16
3,2023,10,16,월,KIA,NC,광주-기아 챔피언스 필드,맑음,20.6℃,5251,2023-10-16
4,2023,10,16,월,두산,SSG,서울 잠실 야구장,맑음,19.6℃,15850,2023-10-16
5,2023,10,15,일,LG,두산,서울 잠실 야구장,맑음,21.2℃,23750,2023-10-15
6,2023,10,15,일,NC,삼성,창원NC파크,맑음,24℃,17861,2023-10-15
7,2023,10,15,일,한화,롯데,대전 한화생명 이글스파크,맑음,21.1℃,9840,2023-10-15
8,2023,10,14,토,한화,롯데,대전 한화생명 이글스파크,구름많음,21.7℃,9153,2023-10-14
9,2023,10,14,토,삼성,SSG,대구 삼성 라이온즈 파크,비,24℃,24000,2023-10-14
10,2023,10,14,토,LG,두산,서울 잠실 야구장,비,18.2℃,21771,2023-10-14
11,2023,10,13,금,두산,KIA,서울 잠실 야구장,흐림,21.5℃,19188,2023-10-13
12,2023,10,13,금,SSG,키움,인천SSG 랜더스필드,구름많음,21.5℃,16783,2023-10-13
13,2023,10,13,금,NC,LG,창원NC파크,흐림,23.5℃,6257,2023-10-13
14,2023,10,12,목,KIA,롯데,광주-기아 챔피언스 필드,구름조금,24.2℃,4767,2023-10-12
15,2023,10,12,목,두산,NC,서울 잠실 야구장,구름조금,24.1℃,7113,2023-10-12
16,2023,10,11,수,KIA,키움,광주-기아 챔피언스 필드,맑음,24.3℃,3656,2023-10-11
17,2023,10,11,수,롯데,두산,부산 사직 야구장,맑음,24.5℃,9940,2023-10-11
18,2023,10,10,화,LG,롯데,서울 잠실 야구장,맑음,23.5℃,18521,2023-10-10
19,2023,10,10,화,NC,한화,창원NC파크,구름조금,23.9℃,7342,2023-10-10
20,2023,10,10,화,KT,두산,수원케이티위즈파크,맑음,23.3℃,10937,2023-10-10
21,2023,10,10,화,KIA,SSG,광주-기아 챔피언스 필드,구름조금,22.5℃,8333,2023-10-10
22,2023,10,10,화,키움,삼성,서울고척스카이돔,맑음,23.5℃,11757,2023-10-10
23,2023,10,9,월,LG,롯데,서울 잠실 야구장,비,22.4℃,22807,2023-10-09
24,2023,10,9,월,NC,한화,창원NC파크,흐림,23.8℃,8716,2023-10-09
25,2023,10,9,월,KIA,삼성,광주-기아 챔피언스 필드,흐림,23.2℃,12758,2023-10-09
26,2023,10,8,일,KIA,삼성,광주-기아 챔피언스 필드,비,22.7℃,16005,2023-10-08
27,2023,10,8,일,KT,한화,수원케이티위즈파크,흐림,20.1℃,15197,2023-10-08
28,2023,10,8,일,NC,SSG,창원NC파크,비,22.5℃,10073,2023-10-08
29,2023,10,8,일,두산,롯데,서울 잠실 야구장,흐림,19.5℃,21392,2023-10-08
30,2023,10,7,토,두산,롯데,서울 잠실 야구장,흐림,21.2℃,19916,2023-10-07
31,2023,10,7,토,NC,SSG,창원NC파크,흐림,21.7℃,13479,2023-10-07
32,2023,10,7,토,KT,한화,수원케이티위즈파크,흐림,20.7℃,15210,2023-10-07
33,2023,10,7,토,키움,LG,서울고척스카이돔,흐림,21.2℃,13301,2023-10-07
34,2023,10,6,금,LG,KIA,서울 잠실 야구장,구름많음,21.5℃,23750,2023-10-06
35,2023,10,6,금,SSG,한화,인천SSG 랜더스필드,구름많음,20.6℃,15755,2023-10-06
36,2023,10,6,금,KT,삼성,수원케이티위즈파크,구름많음,20.8℃,8132,2023-10-06
37,2023,10,5,목,KT,KIA,수원케이티위즈파크,맑음,19.3℃,7264,2023-10-05
38,2023,10,5,목,삼성,한화,대구 삼성 라이온즈 파크,구름조금,21.2℃,14483,2023-10-05
39,2023,10,5,목,롯데,LG,부산 사직 야구장,구름조금,22.7℃,10040,2023-10-05
40,2023,10,5,목,SSG,NC,인천SSG 랜더스필드,맑음,18.6℃,9004,2023-10-05
41,2023,10,4,수,KT,KIA,수원케이티위즈파크,비,23.9℃,3908,2023-10-04
42,2023,10,4,수,KT,KIA,수원케이티위즈파크,비,23.9℃,5907,2023-10-04
43,2023,10,4,수,SSG,NC,인천SSG 랜더스필드,비,22.8℃,8006,2023-10-04
44,2023,10,4,수,롯데,LG,부산 사직 야구장,구름많음,26.5℃,6970,2023-10-04
45,2023,10,4,수,삼성,한화,대구 삼성 라이온즈 파크,구름많음,24.8℃,12571,2023-10-04
46,2023,10,3,화,두산,키움,서울 잠실 야구장,구름조금,22.5℃,14588,2023-10-03
47,2023,10,3,화,SSG,NC,인천SSG 랜더스필드,구름조금,22.4℃,14507,2023-10-03
48,2023,10,3,화,롯데,삼성,부산 사직 야구장,비,22.5℃,13042,2023-10-03
49,2023,10,3,화,KT,KIA,수원케이티위즈파크,구름조금,23℃,16841,2023-10-03
50,2023,10,2,월,두산,키움,서울 잠실 야구장,맑음,24.6℃,18050,2023-10-02
51,2023,10,2,월,KT,LG,수원케이티위즈파크,맑음,24.4℃,18700,2023-10-02
52,2023,10,2,월,한화,NC,대전 한화생명 이글스파크,구름조금,23.6℃,12000,2023-10-02
53,2023,10,2,월,롯데,삼성,부산 사직 야구장,구름조금,26.1℃,15868,2023-10-02
54,2023,10,2,월,롯데,삼성,부산 사직 야구장,구름조금,26.1℃,16293,2023-10-02
55,2023,10,1,일,한화,NC,대전 한화생명 이글스파크,맑음,23.3℃,11004,2023-10-01
56,2023,10,1,일,KT,키움,수원케이티위즈파크,맑음,23.4℃,11337,2023-10-01
57,2023,10,1,일,롯데,삼성,부산 사직 야구장,맑음,26℃,20159,2023-10-01
58,2023,10,1,일,SSG,KIA,인천SSG 랜더스필드,맑음,22.7℃,22701,2023-10-01
59,2023,10,1,일,두산,LG,서울 잠실 야구장,맑음,23.7℃,23750,2023-10-01
60,2023,9,30,토,두산,LG,서울 잠실 야구장,비,22.2℃,23750,2023-09-30
61,2023,9,30,토,SSG,KIA,인천SSG 랜더스필드,비,22.4℃,22191,2023-09-30
62,2023,9,30,토,삼성,NC,대구 삼성 라이온즈 파크,비,25.1℃,24000,2023-09-30
63,2023,9,29,금,키움,KIA,서울고척스카이돔,구름많음,26.9℃,14472,2023-09-29
64,2023,9,29,금,롯데,한화,부산 사직 야구장,구름조금,28.6℃,10279,2023-09-29
65,2023,9,29,금,두산,LG,서울 잠실 야구장,구름많음,26.9℃,20951,2023-09-29
66,2023,9,28,목,LG,삼성,서울 잠실 야구장,구름조금,27.3℃,21057,2023-09-28
67,2023,9,28,목,롯데,한화,부산 사직 야구장,맑음,29.3℃,12227,2023-09-28
68,2023,9,28,목,NC,KIA,창원NC파크,구름조금,29.9℃,11864,2023-09-28
69,2023,9,28,목,키움,SSG,서울고척스카이돔,구름조금,27.3℃,7082,2023-09-28
70,2023,9,27,수,LG,KT,서울 잠실 야구장,비,23.7℃,5656,2023-09-27
71,2023,9,27,수,SSG,두산,인천SSG 랜더스필드,비,22.7℃,6526,2023-09-27
72,2023,9,27,수,NC,KIA,창원NC파크,흐림,28.4℃,3775,2023-09-27
73,2023,9,27,수,한화,삼성,대전 한화생명 이글스파크,비,23.9℃,2807,2023-09-27
74,2023,9,27,수,LG,KT,서울 잠실 야구장,비,23.7℃,14733,2023-09-27
75,2023,9,27,수,SSG,두산,인천SSG 랜더스필드,비,22.7℃,12132,2023-09-27
