ID,year,month,day,week,weekend,home,away,stadium,weather,weather_int,is_rain,precip,temp,spec,day_sin,day_cos,weather_encoded,holiday,time,streak_home,streak_away,score_home,score_away,winner,loser,winloss_home,winloss_away,winrate_home,winrate_away
20231017KIA,2023,10,17,화,0,KIA,NC,광주-기아 챔피언스 필드,맑음,1,0,0,21.7,10175,0.9749279122,-0.222520934,0,0,0.7708333333,1,-1,7,1,KIA,NC,3,9,0.5034965035,0.5244755245
20231017SSG,2023,10,17,화,0,SSG,두산,인천SSG 랜더스필드,맑음,1,0,0,19.5,21007,0.9749279122,-0.222520934,0,0,0.7708333333,1,-2,5,0,SSG,두산,10,7,0.5244755245,0.5174825175
20231016한화,2023,10,16,월,0,한화,롯데,대전 한화생명 이글스파크,맑음,1,0,0,20.7,12000,0.7818314825,0.6234898019,0,0,0.7708333333,2,-3,2,7,롯데,한화,-21,-9,0.4055944056,0.4685314685
20231016KIA,2023,10,16,월,0,KIA,NC,광주-기아 챔피언스 필드,맑음,1,0,0,20.6,5251,0.7818314825,0.6234898019,0,0,0.7708333333,-1,2,4,2,KIA,NC,2,10,0.5,0.5281690141
20231016두산,2023,10,16,월,0,두산,SSG,서울 잠실 야구장,맑음,1,0,0,19.6,15850,0.7818314825,0.6234898019,0,0,0.7708333333,-1,-1,2,3,SSG,두산,8,9,0.5211267606,0.5211267606
20231015LG,2023,10,15,일,1,LG,두산,서울 잠실 야구장,맑음,1,0,0,21.2,23750,0,1,0,1,0.5833333333,-2,3,5,2,LG,두산,29,9,0.5944055944,0.524822695
20231015NC,2023,10,15,일,1,NC,삼성,창원NC파크,맑음,1,0,0,24,17861,0,1,0,1,0.5833333333,1,1,5,3,NC,삼성,9,-20,0.524822695,0.4265734266
20231015한화,2023,10,15,일,1,한화,롯데,대전 한화생명 이글스파크,맑음,1,0,0,21.1,9840,0,1,0,1,0.5833333333,1,-2,7,4,한화,롯데,-22,-8,0.4014084507,0.4718309859
20231014한화,2023,10,14,토,1,한화,롯데,대전 한화생명 이글스파크,구름많음,3,0,5.8,21.7,9153,-0.7818314825,0.6234898019,2,1,0.7083333333,-6,-1,8,0,한화,롯데,-23,-7,0.3971631206,0.475177305
20231014삼성,2023,10,14,토,1,삼성,SSG,대구 삼성 라이온즈 파크,비,5,1,5.8,24,24000,-0.7818314825,0.6234898019,4,1,0.7083333333,-3,3,5,3,삼성,SSG,-21,10,0.4225352113,0.524822695
20231014LG,2023,10,14,토,1,LG,두산,서울 잠실 야구장,비,5,1,5.8,18.2,21771,-0.7818314825,0.6234898019,4,1,0.7083333333,-1,2,2,3,두산,LG,30,8,0.5985915493,0.5214285714
20231013두산,2023,10,13,금,1,두산,KIA,서울 잠실 야구장,흐림,4,0,0,21.5,19188,-0.9749279122,-0.222520934,3,0,0.7708333333,1,2,3,1,두산,KIA,7,3,0.5179856115,0.5035460993
20231013SSG,2023,10,13,금,1,SSG,키움,인천SSG 랜더스필드,구름많음,3,0,0,21.5,16783,-0.9749279122,-0.222520934,2,0,0.7708333333,2,-1,3,2,SSG,키움,9,-24,0.5214285714,0.4055944056
20231013NC,2023,10,13,금,1,NC,LG,창원NC파크,흐림,4,0,0,23.5,6257,-0.9749279122,-0.222520934,3,0,0.7708333333,-1,1,8,4,NC,LG,8,31,0.5214285714,0.6028368794
20231012KIA,2023,10,12,목,0,KIA,롯데,광주-기아 챔피언스 필드,구름조금,2,0,0,24.2,4767,-0.4338837391,-0.9009688679,1,0,0.7708333333,1,1,6,5,KIA,롯데,2,-6,0.5,0.4785714286
20231012두산,2023,10,12,목,0,두산,NC,서울 잠실 야구장,구름조금,2,0,0,24.1,7113,-0.4338837391,-0.9009688679,1,0,0.7708333333,-2,2,11,1,두산,NC,6,9,0.5144927536,0.5251798561
20231011KIA,2023,10,11,수,0,KIA,키움,광주-기아 챔피언스 필드,맑음,1,0,0,24.3,3656,0.4338837391,-0.9009688679,0,0,0.7708333333,-1,3,11,0,KIA,키움,1,-23,0.4964028777,0.4084507042
