지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
서울,2013.1.1,3.1,,
서울,2013.1.2,,,
서울,2013.1.3,,,
서울,2013.1.4,,,
서울,2013.1.5,,,
서울,2013.1.6,,,
서울,2013.1.7,,,
서울,2013.1.8,,,
서울,2013.1.9,,,
서울,2013.1.10,,,
서울,2013.1.11,0,,
서울,2013.1.12,0.1,,
서울,2013.1.13,,,
서울,2013.1.14,,,
서울,2013.1.15,,,
서울,2013.1.16,0.3,,
서울,2013.1.17,,,
서울,2013.1.18,,,
서울,2013.1.19,,,
서울,2013.1.20,,,
서울,2013.1.21,16.5,,
서울,2013.1.22,0.5,,
서울,2013.1.23,1.5,,
서울,2013.1.24,0.1,,
서울,2013.1.25,,,
서울,2013.1.26,,,
서울,2013.1.27,,,
서울,2013.1.28,,,
서울,2013.1.29,0,,
서울,2013.1.30,,,
서울,2013.1.31,0,,
서울,2013.2.1,46.5,,
서울,2013.2.2,,,
서울,2013.2.3,7.5,,
서울,2013.2.4,7.4,,
서울,2013.2.5,4.5,,
서울,2013.2.6,2.1,,
서울,2013.2.7,0,,
서울,2013.2.8,,,
서울,2013.2.9,,,
서울,2013.2.10,1.2,,
서울,2013.2.11,,,
서울,2013.2.12,0,,
서울,2013.2.13,,,
서울,2013.2.14,,,
서울,2013.2.15,,,
서울,2013.2.16,,,
서울,2013.2.17,0,,
서울,2013.2.18,,,
서울,2013.2.19,,,
서울,2013.2.20,,,
서울,2013.2.21,0,,
서울,2013.2.22,3.9,,
서울,2013.2.23,,,
서울,2013.2.24,,,
서울,2013.2.25,,,
서울,2013.2.26,0,,
서울,2013.2.27,,,
서울,2013.2.28,1,,
서울,2013.3.1,3,,
서울,2013.3.2,,,
서울,2013.3.3,,,
서울,2013.3.4,,,
서울,2013.3.5,,,
서울,2013.3.6,,,
서울,2013.3.7,0.5,,
서울,2013.3.8,,,
서울,2013.3.9,,,
서울,2013.3.10,,,
서울,2013.3.11,,,
서울,2013.3.12,3.5,,
서울,2013.3.13,11.5,,
서울,2013.3.14,,,
서울,2013.3.15,,,
서울,2013.3.16,,,
서울,2013.3.17,7.5,,
서울,2013.3.18,1,,
서울,2013.3.19,,,
서울,2013.3.20,0.1,,
서울,2013.3.21,,,
서울,2013.3.22,,,
서울,2013.3.23,,,
서울,2013.3.24,,,
서울,2013.3.25,,,
서울,2013.3.26,,,
서울,2013.3.27,,,
서울,2013.3.28,,,
서울,2013.3.29,,,
서울,2013.3.30,0.2,,
서울,2013.3.31,,,
서울,2013.4.1,0.5,0.4,
서울,2013.4.2,8.5,2,1:11
서울,2013.4.3,,,
서울,2013.4.4,,,
서울,2013.4.5,,,
서울,2013.4.6,14,1.5,6:09
